TF,Target,Correlation
CIDEC,PFKFB1,0.5057082081840827
EZR,RBFOX1,0.505614949358304
CIDEA,PLIN4,0.5054948379338384
FYB2,DPP6,0.5054161397467846
TBX5,LINC02248,0.5054018759378823
LOC124901051,SMOC1,0.5053988948468102
LEPR,LOC124901051,0.5053906637822148
LINC02006,SEMA3C,0.5053496433612776
DPP6,LOC729732,0.5052553868480244
LRP2,LINC02006,0.5051099766216887
LEPR,ADAMTSL1,0.5048724754799899
PDGFC,ANXA8,0.5045780045234387
LRP2,EZR,0.5044959376558507
KANK4,MLXIPL,0.5042935995547082
KCNT2,DPP6,0.5041747972156325
KCNT2,CDON,0.5040658939563102
ADIPOQ,PLIN5,0.5040344656442808
ZNF385B,TBX5,0.5037902665541282
ADAMTSL1,CGNL1,0.5034297966358952
ROR2,MCTP2,0.5034199582498704
KCTD8,PTPRQ,0.5034021888286717
EPHA3,CDH19,0.5031858686822083
ADIPOQ,KLB,0.5030686193292512
MLXIPL,TRARG1,0.5029952549684651
LINC02388,BMX,0.5027303698474984
ESRRG,LINC02248,0.5023430031433366
NTNG1,RBFOX1,0.5021606613611728
ESRRG,CADPS,0.502065195574098
EFNA5,RBFOX1,0.5020398885455795
SLIT3,DPP6,0.5019549366122272
EPHA3,UNC5C,0.501914191090135
LSAMP,KCTD8,0.5017343753289472
LOC124901051,TMEM132C,0.5017236096253064
SEMA3C,ZBTB7C,0.5016285606148894
PLIN4,PFKFB1,0.5015010142458243
MRC1,MS4A6A,0.5013428904208778
LDB3,MYBPC3,0.5011965835182184
SEMA3C,ROR2,0.5009576624103352
NRG1,PCDH15,0.5009445779607751
BNC1,ARHGAP44,0.5006998522419603
PRG4,SLC24A3,0.5006493810006453
ANXA8,SLC24A3,0.50053740003031
MSR1,SYK,0.5004503780986916
LOC105379003,GREB1L,0.5003450744008
DPP6,GRIP1,0.5003325685795033
NTNG1,PTPRQ,0.5002966164167842
LINC02607,TRARG1,0.50028918578408
NEGR1,SCN7A,0.5001150335331124
BNC2,RERG,0.5000993672252183
PLIN5,PFKFB1,0.5000024775837454
CHRM3,SULF1,0.4997373449267408
NPPB,ITLN1,-0.4996418773059538
GPM6A,C3,0.49923960477497836
F13A1,CD163L1,0.49922672726455447
ROR2,CDON,0.49918806512828184
ANXA8,RERG,0.4989548347935066
LOC105379003,CACNA1C,0.4989515259740581
LOC729732,BNC2,0.49876686296214634
LSAMP,LINC02006,0.49865974104695204
NOSTRIN,EMCN,0.4986322949104816
RYR2,FGF12,0.4985754900271766
NTNG1,MCTP2,0.49844557960544406
PDGFC,DPP6,0.49840116549081576
SULF1,ARHGAP44,0.4983289745310348
LRP2,ZBTB7C,0.49829475996074535
CCDC80,SULF1,0.49822382885327676
NPR3,NRG1,0.49821258106974053
NEGR1,ABCA9,0.4982114323723655
NTNG1,CDON,0.49813195222166584
ARHGAP44,C3,0.49771727913493163
PRG4,PDGFC,0.4976077273179729
PRG4,KCNT2,0.497601217726792
PDE4B,ANXA8,0.4975270288855358
MS4A6A,CYBB,0.4973867813997507
DLGAP2,BNC2,0.4972838398800969
NTNG1,SEMA3C,0.4970721181702616
FYB2,PTPRQ,0.49698702087384944
RBFOX1,ARHGAP44,0.4968428757113594
EZR,MCTP2,0.49668444996009653
NEGR1,FREM1,0.496630871404421
FGF12,TECRL,0.49653623377201433
MLIP,TBX5,0.4965227722803509
MCTP2,HAS1,0.4964084878353952
BNC2,SYT1-AS1,0.4962132488869811
ROR2,GRIP1,0.4961776511083745
CACNA2D3,DPP6,0.49614940017907755
MARCHF1,PTPRQ,0.49613257759400153
LINC02006,SULF1,0.4957295497499528
ADIPOQ,PDE3B,0.4954097790579376
KCNJ3,CHRM2,0.49524086711882737
ANO2,SHANK3,0.49469617372713615
ROR2,BNC1,0.4946004876795997
GLYAT,GPD1,0.4945735433101181
CACNA2D3,ROR2,0.49457070133283837
LSAMP,ZBTB7C,0.49456623424130364
CADPS,MYBPC3,0.49453307686270437
LDB3,RBM20,0.49452857768153324
COL24A1,COLGALT2,0.49449242640648716
CHRM2,GREB1L,0.49429649233431483
FGF12,MYO18B,0.49416357735642574
SLC4A4,SYT1-AS1,0.4940740642957656
PECR,ADIPOQ,0.4939938150913498
EMCN,ADGRF5,0.49393342381689026
NTNG1,LSAMP,0.49386967443215696
ESRRG,CHRM2,0.4937421603384432
CIDEC,GYG2,0.49371062465119003
NPR3,PCDH15,0.4937032465374362
GPD1,PLIN5,0.49363064768781
SLC4A4,LOC729732,0.49347690833811303
ABI3BP,SLIT2,0.4934287777199957
GRIP1,PTPRQ,0.49335259676068394
CHRM2,CACNA1C,0.4932855768443794
NTNG1,GPM6A,0.49327973528769953
MS4A6A,CD163,0.4930178134739829
MRC1,CD163,0.4929767539517024
CDON,ARHGAP44,0.49291943699180557
ADIPOQ,LPL,0.4929040306497231
BNC2,WT1,0.4926408802961554
DPP6,SLC24A3,0.49253867928066053
PLA2G2A,ITLN1,0.4925197817077594
CFH,FLRT2,0.49247008867002
SLC4A4,SLC39A8,0.49242867074929375
CACNA2D3,C3,0.49238222873774107
LINC00598,PLIN1,0.4922828310865546
RMEL3,PLIN1,0.4920701334771376
NTNG1,C3,0.49206966390958473
PRG4,DLGAP2,0.49201964684419636
LRP2,SYT1-AS1,0.4918930798296504
ESRRG,LOC105379003,0.49184318743881045
LINC02006,ROR2,0.4917463334808198
SCN7A,FGF14,0.491702395438917
BNC2,SLC24A3,0.4916998977710206
ITLN1,DPP6,0.491270871926855
PRG4,LOC729732,0.4912301236935531
EGFL7,SHANK3,0.4911806152844321
COL24A1,CDH19,0.4911707096160396
DCN,FBLN1,0.4910823835978693
LRP2,HAS1,0.4908689951702114
PDE4B,PTPRQ,0.4906469222014597
MLIP,RBM20,0.49064142103376046
KCTD8,ANXA8,0.4905986259305134
SLIT2,BNC2,0.49051111566710187
